,transaction_logistic_pharmacy_id,date,drug_supplier_id,total
29,GB75TYQH79784057412260,2019-02-15 18:51:00,dsupp19180007,325212000
30,GB61FQDG08757176513845,2017-05-02 22:40:16,dsupp86637336,122084000
31,GB75HMRC46842545416332,2016-06-09 05:02:14,dsupp04217381,358047000
32,GB03NDPH91136162431612,2018-04-21 08:31:48,dsupp75704988,139896000
33,GB25BTRR52250209666506,2016-09-20 08:56:50,dsupp58214817,247053000
34,GB63WRYD26443456136707,2018-05-27 08:08:13,dsupp85567122,250867000
35,GB27CIWQ35121431409311,2019-10-16 14:40:35,dsupp43897988,253203000
36,GB02PLBF58120177120225,2019-04-13 13:36:00,dsupp34171202,71477000
37,GB70UUNX49471480272915,2018-06-03 01:21:31,dsupp86637336,28989000
38,GB70MYKE37505635150576,2019-08-01 07:04:46,dsupp31637374,304233000
39,GB27FVYK73081678201973,2017-05-09 11:56:00,dsupp62386531,115683000
40,GB43XXWV58270589388424,2016-01-18 16:14:59,dsupp54845718,225712000
41,GB61XZOA93842232486030,2017-11-28 14:58:03,dsupp90825385,257515000
42,GB90WXWS03498915018889,2017-01-01 23:39:45,dsupp63336504,215234000
43,GB82XHGQ68568542824330,2018-01-02 00:10:01,dsupp73347231,106108000
44,GB46ZLNP54445989274775,2017-02-06 04:28:52,dsupp43897988,11455000
45,GB27GKOM34172927282050,2016-04-25 18:30:29,dsupp85567122,119275000
46,GB74ORGK68880157686509,2019-11-12 08:51:13,dsupp62386531,348754000
47,GB42EXYB84132925207090,2019-02-20 21:16:34,dsupp86637336,260002000
48,GB77UCRU65584045996683,2017-12-30 16:01:41,dsupp72812877,97029000
49,GB82MNDL89967924338109,2017-05-24 13:59:47,dsupp86620178,44117000
50,GB11TTQB49701434155342,2016-03-25 09:31:29,dsupp86637336,382364000
51,GB78YRIE55073431637042,2016-10-15 14:34:42,dsupp68033910,277498000
52,GB85PSGJ77627406437468,2016-12-08 11:27:13,dsupp10348291,166025000
53,GB54FGJT92365503665904,2017-04-27 07:20:47,dsupp01015621,192074000
54,GB88KLPB47116060212829,2017-01-19 09:31:22,dsupp05921201,325073000
55,GB36ARNI74473800408681,2019-01-15 00:57:55,dsupp68033910,118396000
56,GB95OJPJ05589538838766,2016-01-31 22:29:45,dsupp10348291,16445000
57,GB91PLQP80390064853439,2019-07-13 17:47:40,dsupp75704988,179895000
58,GB33DIQP19588178171903,2019-12-15 04:48:10,dsupp63336504,153974000
59,GB27VIGT95764182098260,2017-10-06 04:23:48,dsupp93053402,264622000
60,GB19VKOT43119345692293,2017-08-24 23:16:09,dsupp44078997,328312000
61,GB40VZJY20801208832724,2018-04-16 17:15:26,dsupp17274531,287609000
62,GB86WMDR84204272857726,2016-01-30 17:19:46,dsupp71075785,242349000
63,GB66LCEZ30930315640790,2017-05-07 07:50:07,dsupp39836038,115794000
64,GB21NGLC46554813336714,2017-08-29 22:24:26,dsupp27282441,138485000
65,GB46HFAA44216759030238,2017-01-29 14:15:41,dsupp68033910,244480000
66,GB61KMNL82297184484032,2018-02-27 12:17:26,dsupp86637336,45861000
67,GB62LOPQ98808983304432,2019-08-13 14:48:57,dsupp54845718,167347000
68,GB38TGAX83943574092079,2017-07-19 02:38:08,dsupp89350461,250749000
69,GB88IKCD72410736825242,2018-02-05 15:48:14,dsupp77028877,88168000
70,GB80EWTM63945597919478,2018-07-13 11:44:21,dsupp93053402,306626000
71,GB38OXVK34835923369772,2016-03-08 10:09:26,dsupp33464473,374403000
72,GB50BEKN75257008144396,2018-09-04 18:10:48,dsupp43897988,60886000
73,GB60HGYJ17754056889779,2019-10-21 15:54:40,dsupp38526923,348830000
74,GB97GQKR80093256526304,2018-05-15 17:29:11,dsupp17120593,272360000
75,GB37CMYA30525050347906,2016-07-14 22:48:48,dsupp73347231,308013000
76,GB78ATCD12171310075131,2019-08-11 20:02:16,dsupp27282441,147502000
77,GB25QUBA94188712050108,2019-02-02 11:13:13,dsupp38526923,344307000
78,GB14QKTI57477115872987,2018-08-04 04:17:55,dsupp24186049,396191000
79,GB46XYSV56677837587897,2018-06-08 07:34:58,dsupp60121950,388401000
80,GB72GFZS93564539309997,2017-03-19 10:46:01,dsupp01587166,263605000
81,GB12BSDA75231723213933,2018-09-26 07:59:05,dsupp19565330,109683000
82,GB57NAFC83254694570180,2019-07-19 03:16:37,dsupp19565330,9493000
83,GB61LPJS43131891075538,2019-02-08 18:52:27,dsupp44078997,251622000
84,GB32IZJH10626413920605,2016-06-13 01:05:15,dsupp58214817,189866000
85,GB11SNGK50129262885518,2018-10-23 09:18:31,dsupp90825385,212689000
86,GB03IYOX58730615601760,2019-02-09 00:12:57,dsupp22417657,101904000
87,GB54MCSL18094996613323,2018-12-27 17:30:52,dsupp49782875,237785000
88,GB47RNBT66220825761115,2019-10-13 14:29:19,dsupp76894879,379170000
89,GB12DHIT15358936313274,2016-11-30 12:49:11,dsupp38526923,308569000
90,GB66UNPS60869751814661,2017-02-13 04:59:38,dsupp89350461,326030000
91,GB79ONCM60361247932520,2019-03-06 21:08:59,dsupp24186049,146920000
92,GB75BKDT17610379685651,2018-06-12 16:08:51,dsupp06992859,70086000
93,GB97XBHR31044272408242,2019-11-13 21:40:19,dsupp27282441,20592000
94,GB85PBDC09657804534865,2019-07-20 07:55:06,dsupp43897988,398954000
95,GB12QFHR59455901706303,2018-06-17 18:31:41,dsupp69321764,135809000
96,GB66BMTE18072217588162,2016-11-30 06:05:01,dsupp24186049,276985000
97,GB69LODI63343213468857,2016-01-22 16:31:12,dsupp60121950,365078000
98,GB86TOVI69352130949315,2018-11-10 05:56:54,dsupp01587166,144682000
99,GB36VUKH69955208571769,2016-04-16 12:07:30,dsupp38526923,96599000
100,GB03NQSX71168267601098,2018-02-01 15:07:53,dsupp98109159,35605000
101,GB60YHZA20229997288002,2017-11-26 21:26:33,dsupp21204364,215563000
102,GB65BDAS14145534132376,2019-06-29 00:34:43,dsupp27282441,119029000
103,GB72PAFN70883005109111,2016-07-17 06:40:45,dsupp69321764,383915000
104,GB77ACFV94754811237990,2016-07-16 22:09:28,dsupp14798290,328454000
105,GB22KDIY70429526201210,2016-12-28 21:58:38,dsupp37460815,313790000
106,GB63NCLI87135246073471,2017-01-27 14:21:24,dsupp85567122,224784000
107,GB25SKIN05390384204674,2016-05-16 14:00:58,dsupp14798290,247266000
108,GB38PGUQ68321727675652,2017-05-03 01:29:03,dsupp73347231,248782000
109,GB23FFCD90210022519156,2019-02-09 14:52:32,dsupp39836038,115314000
110,GB97BSHJ79937920115031,2017-04-02 04:56:48,dsupp77028877,258434000
111,GB64BXAF01465397633052,2019-10-07 05:27:00,dsupp38526923,183264000
112,GB43CUMV97699426468046,2016-09-23 06:00:58,dsupp06992859,29134000
113,GB98DCDP62490920642877,2019-03-19 23:46:40,dsupp17274531,321775000
114,GB55UFAX02430427492834,2017-09-20 03:17:31,dsupp05921201,177250000
115,GB24DCYD28132476518568,2016-09-15 07:05:34,dsupp01587166,153172000
116,GB44PVTD79519374489223,2016-09-21 21:34:11,dsupp06726706,235796000
117,GB03TLHS70178875336832,2017-04-13 19:14:11,dsupp89350461,143593000
118,GB03VZQV79462926120510,2016-06-27 04:01:58,dsupp10348291,83049000
119,GB34QHSE95791663876545,2016-01-18 08:24:09,dsupp01015621,67868000
120,GB46DMNP01850728366988,2016-08-18 12:05:39,dsupp37460815,88964000
121,GB53XMSY81330173824445,2018-04-30 21:44:28,dsupp71829029,322866000
122,GB22DPOH54607235950687,2018-01-30 00:58:02,dsupp98109159,287062000
123,GB48HVUJ66471175526789,2018-08-31 03:57:43,dsupp17120593,216040000
124,GB34PYBQ85133390668698,2016-05-08 19:16:20,dsupp17274531,314906000
125,GB80RBIC85773630712164,2016-09-01 12:19:36,dsupp01015621,257123000
126,GB96GFTT35335349944172,2018-07-29 21:42:43,dsupp90825385,48786000
