,transaction_sale_pharmacy_id,drug_id,quantity
98,GB61HDLY63282067144174,drug31999410,4
99,GB61HDLY63282067144174,drug05810291,3
100,GB61HDLY63282067144174,drug15371560,2
101,GB63NGSZ90006886083374,drug68357658,7
102,GB63NGSZ90006886083374,drug55536073,4
103,GB63NGSZ90006886083374,drug23867758,5
104,GB63NGSZ90006886083374,drug04673408,3
105,GB63NGSZ90006886083374,drug94575323,2
106,GB63NGSZ90006886083374,drug34105634,3
107,GB63NGSZ90006886083374,drug44812263,1
108,GB44GSQT28758080289020,drug68272647,3
109,GB44GSQT28758080289020,drug57961255,9
110,GB44GSQT28758080289020,drug48733458,3
111,GB44GSQT28758080289020,drug73216940,10
112,GB44GSQT28758080289020,drug96335857,7
113,GB36MJWW81592132472849,drug60843760,2
114,GB36MJWW81592132472849,drug60843760,6
115,GB36MJWW81592132472849,drug02347912,8
116,GB36MJWW81592132472849,drug96335857,5
117,GB36MJWW81592132472849,drug31282017,2
118,GB81NSAY01080147918674,drug63617689,6
119,GB81NSAY01080147918674,drug47051621,10
120,GB81NSAY01080147918674,drug78665699,8
121,GB81NSAY01080147918674,drug36646647,1
122,GB81NSAY01080147918674,drug81163762,5
123,GB81NSAY01080147918674,drug31999410,3
124,GB81NSAY01080147918674,drug70682915,2
125,GB81NSAY01080147918674,drug83741951,3
126,GB31EWNV31111940539273,drug80124078,10
127,GB31EWNV31111940539273,drug67531332,4
128,GB31EWNV31111940539273,drug48733458,8
129,GB31EWNV31111940539273,drug67531332,9
130,GB31EWNV31111940539273,drug80279068,7
131,GB31EWNV31111940539273,drug90730092,2
132,GB31EWNV31111940539273,drug07216213,2
133,GB31EWNV31111940539273,drug90626067,6
134,GB31EWNV31111940539273,drug90482731,3
135,GB14DOIJ81759338444277,drug05497454,2
136,GB14DOIJ81759338444277,drug05497454,5
137,GB14DOIJ81759338444277,drug90188947,3
138,GB52SAQU73687413675706,drug22125507,6
139,GB52SAQU73687413675706,drug21625060,3
140,GB52SAQU73687413675706,drug82066062,2
141,GB52SAQU73687413675706,drug07216213,6
142,GB77ZGJV16719089510114,drug19384863,5
143,GB77ZGJV16719089510114,drug34789896,4
144,GB77ZGJV16719089510114,drug21625060,1
145,GB77ZGJV16719089510114,drug07951190,5
146,GB77ZGJV16719089510114,drug85881884,5
147,GB77ZGJV16719089510114,drug28011682,2
148,GB77ZGJV16719089510114,drug24571234,6
149,GB77ZGJV16719089510114,drug31999410,8
150,GB56ZJLY09949417514277,drug52419621,6
151,GB56ZJLY09949417514277,drug80279068,1
152,GB56ZJLY09949417514277,drug31282017,8
153,GB56ZJLY09949417514277,drug39018649,8
154,GB56ZJLY09949417514277,drug87480702,5
155,GB56ZJLY09949417514277,drug70682915,4
156,GB56ZJLY09949417514277,drug80453208,5
157,GB56ZJLY09949417514277,drug72250907,7
158,GB56ZJLY09949417514277,drug96335857,8
159,GB56ZJLY09949417514277,drug80453208,8
160,GB07BJHG08388094925325,drug82307868,8
161,GB07BJHG08388094925325,drug94449822,5
162,GB07BJHG08388094925325,drug31784573,4
163,GB07BJHG08388094925325,drug27231500,2
164,GB07BJHG08388094925325,drug71734989,4
165,GB07BJHG08388094925325,drug96302910,7
166,GB07BJHG08388094925325,drug04673408,5
167,GB07BJHG08388094925325,drug10580707,3
168,GB29RWCI08434551052492,drug29155903,1
169,GB29RWCI08434551052492,drug21625060,2
170,GB29RWCI08434551052492,drug72930892,5
171,GB29RWCI08434551052492,drug66048138,6
172,GB29RWCI08434551052492,drug60843760,9
173,GB29RWCI08434551052492,drug05244287,6
174,GB29RWCI08434551052492,drug65864098,2
175,GB29RWCI08434551052492,drug78279223,7
176,GB22TBLV43344299598879,drug37858179,3
177,GB22TBLV43344299598879,drug78665699,9
178,GB22TBLV43344299598879,drug95984926,6
179,GB31FOXJ07814947303152,drug48331708,10
180,GB31FOXJ07814947303152,drug66048138,1
181,GB31FOXJ07814947303152,drug63702156,3
182,GB31FOXJ07814947303152,drug00913164,3
183,GB31FOXJ07814947303152,drug07596964,6
184,GB31FOXJ07814947303152,drug62529365,5
185,GB07IUHU49883212766973,drug90419812,8
186,GB07IUHU49883212766973,drug75151645,10
187,GB07IUHU49883212766973,drug43279241,2
188,GB07IUHU49883212766973,drug25473605,1
189,GB14LPBZ74757814264401,drug42187806,1
190,GB57AWZF62722724186410,drug80453208,2
191,GB57AWZF62722724186410,drug38475368,8
192,GB57AWZF62722724186410,drug05244287,2
193,GB57AWZF62722724186410,drug02347912,8
194,GB57AWZF62722724186410,drug07951190,10
195,GB30OEZH24511609629550,drug14294525,10
196,GB30OEZH24511609629550,drug10580707,8
197,GB30OEZH24511609629550,drug63247565,6
198,GB30OEZH24511609629550,drug19384863,8
199,GB23XWEV47463876265454,drug23867758,8
200,GB23XWEV47463876265454,drug53284600,5
201,GB52KIFP30254751074626,drug22125507,1
202,GB52KIFP30254751074626,drug07596964,1
203,GB52KIFP30254751074626,drug63247565,9
204,GB52KIFP30254751074626,drug05810291,2
205,GB52KIFP30254751074626,drug53537447,6
206,GB52KIFP30254751074626,drug15406590,4
207,GB52KIFP30254751074626,drug39664051,7
208,GB52KIFP30254751074626,drug18797701,4
209,GB52KIFP30254751074626,drug11824657,8
210,GB17FXTY64405955279237,drug52419621,7
211,GB17FXTY64405955279237,drug91243812,6
212,GB17FXTY64405955279237,drug36645459,10
213,GB17FXTY64405955279237,drug51423551,7
214,GB17FXTY64405955279237,drug52874741,8
215,GB17FXTY64405955279237,drug63702156,3
216,GB31GEXD89956772733577,drug05244287,5
217,GB31GEXD89956772733577,drug97899020,1
218,GB31GEXD89956772733577,drug81285006,7
219,GB31GEXD89956772733577,drug77438058,8
220,GB31GEXD89956772733577,drug73216940,7
221,GB31GEXD89956772733577,drug75151645,8
222,GB31GEXD89956772733577,drug12503070,5
223,GB31GEXD89956772733577,drug85864856,10
224,GB20LUZS85359436179607,drug31004220,10
225,GB20LUZS85359436179607,drug73414681,7
226,GB20LUZS85359436179607,drug89581438,5
227,GB06CKVP63219709723502,drug90730092,10
228,GB06CKVP63219709723502,drug59470267,6
229,GB06CKVP63219709723502,drug72486597,6
230,GB06CKVP63219709723502,drug77438058,4
231,GB06CKVP63219709723502,drug15371560,9
232,GB06CKVP63219709723502,drug43279241,4
233,GB06CKVP63219709723502,drug72250907,10
234,GB77DKZE58670788299906,drug07596964,5
235,GB77DKZE58670788299906,drug81459506,7
236,GB77DKZE58670788299906,drug91871275,8
237,GB77DKZE58670788299906,drug72486597,6
238,GB77DKZE58670788299906,drug52874741,7
239,GB77DKZE58670788299906,drug36537068,8
240,GB77DKZE58670788299906,drug81163762,1
241,GB77DKZE58670788299906,drug63617689,9
242,GB77DKZE58670788299906,drug15406590,7
243,GB53HMXY56948275689588,drug95984926,2
244,GB53HMXY56948275689588,drug63702156,8
245,GB53HMXY56948275689588,drug78279223,5
246,GB53HMXY56948275689588,drug07954108,5
247,GB53HMXY56948275689588,drug65864098,2
248,GB53HMXY56948275689588,drug51976255,4
249,GB53HMXY56948275689588,drug82563585,2
250,GB20DNZL67593426715950,drug47051621,4
251,GB20DNZL67593426715950,drug81472369,8
252,GB20DNZL67593426715950,drug07442995,4
253,GB20DNZL67593426715950,drug81472369,3
254,GB20DNZL67593426715950,drug17244244,8
255,GB68JRWK97318525515717,drug40052861,9
256,GB68JRWK97318525515717,drug85881884,8
257,GB68JRWK97318525515717,drug77438058,2
258,GB68JRWK97318525515717,drug07005824,7
259,GB68JRWK97318525515717,drug07437342,8
260,GB68JRWK97318525515717,drug66295327,3
261,GB68JRWK97318525515717,drug05244287,10
262,GB68JRWK97318525515717,drug91084545,3
263,GB06MNZO04934331136237,drug92078413,8
264,GB06MNZO04934331136237,drug48733458,8
265,GB06MNZO04934331136237,drug59016069,6
266,GB39DKKB50289465119084,drug00666374,7
267,GB39DKKB50289465119084,drug53284600,5
268,GB39DKKB50289465119084,drug59016069,5
269,GB39DKKB50289465119084,drug90730092,7
270,GB39DKKB50289465119084,drug10580707,2
271,GB39DKKB50289465119084,drug29155903,1
272,GB49ZXYB39504225334407,drug24571234,5
273,GB68ZOWY32124514632469,drug67531332,9
274,GB68ZOWY32124514632469,drug07437342,7
275,GB68ZOWY32124514632469,drug34105634,8
276,GB68ZOWY32124514632469,drug91084545,2
277,GB68ZOWY32124514632469,drug00666374,2
278,GB68ZOWY32124514632469,drug45996863,8
279,GB68ZOWY32124514632469,drug39664051,9
280,GB68ZOWY32124514632469,drug05497454,3
281,GB68ZOWY32124514632469,drug73414681,2
282,GB68ZOWY32124514632469,drug10212486,4
283,GB55AVZY84981944792713,drug70415612,9
284,GB55AVZY84981944792713,drug94575323,5
285,GB33IFST65491170966337,drug13317331,2
286,GB33IFST65491170966337,drug07437342,9
287,GB33IFST65491170966337,drug18797701,7
288,GB33IFST65491170966337,drug66048138,10
289,GB33IFST65491170966337,drug02347912,8
290,GB33IFST65491170966337,drug45482502,8
291,GB33IFST65491170966337,drug27231500,5
292,GB33IFST65491170966337,drug31282017,1
293,GB33IFST65491170966337,drug51671051,4
294,GB33IFST65491170966337,drug44812263,10
295,GB59XRPD32635124078678,drug36775507,2
296,GB59XRPD32635124078678,drug07005824,10
297,GB59XRPD32635124078678,drug82307868,2
298,GB59XRPD32635124078678,drug07954108,2
299,GB13EKET59100406034316,drug89581438,10
300,GB13EKET59100406034316,drug60282545,10
301,GB13EKET59100406034316,drug37641146,3
302,GB13EKET59100406034316,drug37448561,5
303,GB14LNDT53151659641558,drug00913164,10
304,GB14LNDT53151659641558,drug82627058,4
305,GB14LNDT53151659641558,drug90626067,1
306,GB51WFZS40714410432072,drug94575323,4
307,GB51WFZS40714410432072,drug02277240,10
308,GB51WFZS40714410432072,drug00296038,3
309,GB51WFZS40714410432072,drug39502094,3
310,GB03MBFX59127316624450,drug17244244,4
311,GB03MBFX59127316624450,drug06536879,10
312,GB03MBFX59127316624450,drug22852205,9
313,GB03MBFX59127316624450,drug82563585,7
314,GB03MBFX59127316624450,drug07954108,1
315,GB03MBFX59127316624450,drug83393358,5
316,GB03MBFX59127316624450,drug00666374,3
317,GB51NJTG31256741606918,drug48733458,10
318,GB51NJTG31256741606918,drug04673408,4
319,GB51NJTG31256741606918,drug15406590,4
320,GB51NJTG31256741606918,drug91871275,5
321,GB51NJTG31256741606918,drug03704639,9
322,GB51NJTG31256741606918,drug51976255,8
323,GB65BKFR68577696870796,drug67531332,4
324,GB65BKFR68577696870796,drug07951190,6
325,GB65BKFR68577696870796,drug31004220,10
326,GB29UJER36563214388270,drug90419812,4
327,GB29UJER36563214388270,drug09768543,7
328,GB29UJER36563214388270,drug93448178,3
329,GB51TLCX36153559488230,drug36645459,4
330,GB51TLCX36153559488230,drug56280364,5
331,GB51TLCX36153559488230,drug54349650,10
332,GB51TLCX36153559488230,drug75151645,9
333,GB51TLCX36153559488230,drug76207815,10
334,GB51TLCX36153559488230,drug88734576,4
335,GB51TLCX36153559488230,drug16108141,7
336,GB80KJOM80571710703797,drug68357658,3
337,GB80KJOM80571710703797,drug11824657,10
338,GB80KJOM80571710703797,drug14294525,10
339,GB80KJOM80571710703797,drug54148048,2
340,GB80KJOM80571710703797,drug68357658,4
341,GB80KJOM80571710703797,drug02277240,8
342,GB80KJOM80571710703797,drug72889619,1
343,GB80KJOM80571710703797,drug90435782,3
344,GB03ONCX56759589578417,drug78665699,1
345,GB03ONCX56759589578417,drug61531215,5
346,GB03ONCX56759589578417,drug56280364,8
347,GB03ONCX56759589578417,drug51976255,8
348,GB73UXVE58406078524242,drug90730092,5
349,GB73UXVE58406078524242,drug66048138,8
350,GB73UXVE58406078524242,drug96637593,5
351,GB73UXVE58406078524242,drug58415733,8
352,GB73UXVE58406078524242,drug72889619,5
353,GB73UXVE58406078524242,drug16108141,1
354,GB86EZIN40785903463518,drug51976255,10
355,GB86EZIN40785903463518,drug24714877,1
356,GB86EZIN40785903463518,drug49452730,6
357,GB86EZIN40785903463518,drug18797701,4
358,GB63HYPV51723316116989,drug70453034,10
359,GB63HYPV51723316116989,drug90435782,8
360,GB63HYPV51723316116989,drug68272647,8
361,GB63HYPV51723316116989,drug78926509,7
362,GB40YPNE62189751295345,drug28011682,4
363,GB40YPNE62189751295345,drug63702156,9
364,GB40YPNE62189751295345,drug34105634,5
365,GB40YPNE62189751295345,drug78279223,1
366,GB40YPNE62189751295345,drug83393358,2
367,GB40YPNE62189751295345,drug88734576,5
368,GB40YPNE62189751295345,drug89581438,10
369,GB40YPNE62189751295345,drug36775507,5
370,GB25YICB12826112766206,drug45659690,2
371,GB25YICB12826112766206,drug40052861,3
372,GB25YICB12826112766206,drug24714877,3
373,GB25YICB12826112766206,drug70415612,9
374,GB25YICB12826112766206,drug31004220,6
375,GB25YICB12826112766206,drug39664051,8
376,GB25YICB12826112766206,drug07596964,6
377,GB25XQQR80587726750738,drug75151645,1
378,GB25XQQR80587726750738,drug24274852,7
379,GB25XQQR80587726750738,drug28011682,5
380,GB25XQQR80587726750738,drug98072057,8
381,GB25XQQR80587726750738,drug75324698,1
382,GB25XQQR80587726750738,drug94575323,5
383,GB25XQQR80587726750738,drug40052861,9
384,GB82NPUX05158406236554,drug45659690,1
385,GB82NPUX05158406236554,drug53526540,4
386,GB82NPUX05158406236554,drug36645459,9
387,GB82NPUX05158406236554,drug96302910,2
388,GB82NPUX05158406236554,drug17244244,1
389,GB82NPUX05158406236554,drug06536879,1
390,GB82NPUX05158406236554,drug43279241,8
391,GB30PCSM99620175573655,drug78223950,6
392,GB83PHEH49401080512083,drug54349650,8
393,GB83PHEH49401080512083,drug04673408,4
394,GB83PHEH49401080512083,drug82563585,6
395,GB83PHEH49401080512083,drug92078413,10
396,GB34VSNC82337418767465,drug02684192,3
397,GB64JRQP94343217807722,drug80124078,10
398,GB64JRQP94343217807722,drug01308433,1
399,GB64JRQP94343217807722,drug31999410,2
400,GB64JRQP94343217807722,drug04673408,4
401,GB64JRQP94343217807722,drug07951190,4
402,GB64JRQP94343217807722,drug17244244,9
403,GB64JRQP94343217807722,drug29155903,7
404,GB64JRQP94343217807722,drug72889619,8
405,GB73RLKZ72623443916699,drug60843760,8
406,GB73RLKZ72623443916699,drug31999410,10
407,GB73RLKZ72623443916699,drug90435782,7
408,GB73RLKZ72623443916699,drug85881884,2
409,GB73RLKZ72623443916699,drug38178634,1
410,GB73RLKZ72623443916699,drug96302910,5
411,GB73RLKZ72623443916699,drug21625060,3
412,GB73RLKZ72623443916699,drug00296038,8
413,GB89DNRG52254515905374,drug07951190,1
414,GB89DNRG52254515905374,drug40052861,5
415,GB89DNRG52254515905374,drug71734989,1
416,GB89DNRG52254515905374,drug78665699,1
417,GB89DNRG52254515905374,drug04679172,9
418,GB89DNRG52254515905374,drug51423551,8
419,GB89DNRG52254515905374,drug90730092,2
420,GB89DNRG52254515905374,drug22155948,9
421,GB89DNRG52254515905374,drug76207815,1
422,GB68LVZC59876430212662,drug63247565,4
423,GB68LVZC59876430212662,drug31410335,5
424,GB68LVZC59876430212662,drug83741951,1
425,GB68LVZC59876430212662,drug24714877,6
426,GB68LVZC59876430212662,drug62781800,8
427,GB68LVZC59876430212662,drug40052861,10
428,GB68LVZC59876430212662,drug52874741,9
429,GB68LVZC59876430212662,drug90435782,2
430,GB41WOEQ30255616036585,drug35020578,2
431,GB41WOEQ30255616036585,drug82627058,1
432,GB41WOEQ30255616036585,drug49452730,9
433,GB41WOEQ30255616036585,drug10580707,8
434,GB41WOEQ30255616036585,drug70453034,7
435,GB41WOEQ30255616036585,drug72889619,3
436,GB87WVCO24013062583523,drug07442995,3
437,GB87WVCO24013062583523,drug07216213,2
438,GB29HXCW45157600671773,drug67522019,4
439,GB29HXCW45157600671773,drug43043958,10
440,GB29HXCW45157600671773,drug01308433,5
441,GB29HXCW45157600671773,drug82307868,9
442,GB62BHDV07776418754345,drug12890255,7
443,GB62BHDV07776418754345,drug20114367,8
444,GB62BHDV07776418754345,drug53526540,8
445,GB62BHDV07776418754345,drug66600541,5
446,GB62BHDV07776418754345,drug76207815,4
447,GB62BHDV07776418754345,drug80453208,10
448,GB81FPMS12918188132350,drug75151645,2
449,GB81FPMS12918188132350,drug38178634,1
450,GB81FPMS12918188132350,drug71734989,8
451,GB81FPMS12918188132350,drug13038472,6
452,GB95NKDR68151135260099,drug82670597,10
453,GB95NKDR68151135260099,drug05810291,2
454,GB95NKDR68151135260099,drug94449822,4
455,GB95NKDR68151135260099,drug88734576,7
456,GB95NKDR68151135260099,drug90626067,9
457,GB95NKDR68151135260099,drug94449822,6
458,GB95NKDR68151135260099,drug83741951,7
459,GB95NKDR68151135260099,drug12890255,2
460,GB64NJWK39406236964106,drug10212486,6
461,GB64NJWK39406236964106,drug65864098,5
462,GB64NJWK39406236964106,drug68357658,8
463,GB64NJWK39406236964106,drug70682915,1
464,GB64NJWK39406236964106,drug81163762,6
465,GB64NJWK39406236964106,drug51906948,5
466,GB64NJWK39406236964106,drug91243812,1
467,GB39NECI46352103526679,drug12221745,1
468,GB39NECI46352103526679,drug36537068,7
469,GB39NECI46352103526679,drug85966482,10
470,GB39NECI46352103526679,drug28011682,6
471,GB98AGPY85961417042162,drug45659690,5
472,GB43EZDL97110765758194,drug92078413,4
473,GB43EZDL97110765758194,drug76207815,7
474,GB43EZDL97110765758194,drug51976255,10
475,GB43EZDL97110765758194,drug40052861,8
476,GB43EZDL97110765758194,drug52874741,5
477,GB43EZDL97110765758194,drug70682915,4
478,GB43EZDL97110765758194,drug15371560,4
479,GB43EZDL97110765758194,drug36646647,2
480,GB43EZDL97110765758194,drug04673408,2
481,GB43EZDL97110765758194,drug80279068,1
482,GB28JMKU51402095374793,drug43279241,8
483,GB46AFYB41391373767538,drug70453034,6
484,GB46AFYB41391373767538,drug54349650,7
485,GB46AFYB41391373767538,drug37591403,3
486,GB46AFYB41391373767538,drug07951190,9
487,GB46AFYB41391373767538,drug66048138,1
488,GB79DNIO89271474486200,drug77438058,10
489,GB79DNIO89271474486200,drug82563585,8
490,GB79DNIO89271474486200,drug31784573,10
491,GB79DNIO89271474486200,drug15371560,2
492,GB79DNIO89271474486200,drug98072057,8
493,GB79DNIO89271474486200,drug25473605,2
494,GB79DNIO89271474486200,drug75339562,1
495,GB71SJKU19888400275877,drug27231500,2
496,GB71SJKU19888400275877,drug63617689,4
497,GB71SJKU19888400275877,drug79748780,9
498,GB56MGAZ57090107428787,drug82066062,9
499,GB56MGAZ57090107428787,drug23177871,8
500,GB56MGAZ57090107428787,drug85864856,9
501,GB56MGAZ57090107428787,drug73216940,3
502,GB56MGAZ57090107428787,drug37858179,6
503,GB56MGAZ57090107428787,drug51423551,10
504,GB56MGAZ57090107428787,drug30387515,2
505,GB56MGAZ57090107428787,drug59470267,4
506,GB56MGAZ57090107428787,drug04679172,4
507,GB35JKOU72886106907172,drug42187806,2
508,GB35JKOU72886106907172,drug63441802,8
509,GB59YEHA08192791330870,drug29155903,10
510,GB59YEHA08192791330870,drug96637593,4
511,GB59YEHA08192791330870,drug90188947,8
512,GB59YEHA08192791330870,drug09332102,6
513,GB59YEHA08192791330870,drug73216940,10
514,GB59YEHA08192791330870,drug98928200,7
515,GB59YEHA08192791330870,drug96966044,6
516,GB59YEHA08192791330870,drug78926509,9
517,GB59YEHA08192791330870,drug81472369,5
518,GB96KDKN52651113580036,drug82066062,2
519,GB96KDKN52651113580036,drug98072057,10
520,GB96KDKN52651113580036,drug90188947,3
521,GB96KDKN52651113580036,drug22155948,2
522,GB41OAFZ20418513811130,drug93448178,10
523,GB41OAFZ20418513811130,drug12503070,2
524,GB41OAFZ20418513811130,drug12503070,3
525,GB41OAFZ20418513811130,drug04673408,9
526,GB41OAFZ20418513811130,drug02277240,3
527,GB41OAFZ20418513811130,drug93448178,9
528,GB41OAFZ20418513811130,drug05810291,3
529,GB41OAFZ20418513811130,drug00666374,9
530,GB41OAFZ20418513811130,drug94679120,1
531,GB31CYDU74914608438237,drug29155903,1
532,GB31CYDU74914608438237,drug45403330,6
533,GB31CYDU74914608438237,drug18797701,2
534,GB53JMAX97149270506652,drug38475368,7
535,GB53JMAX97149270506652,drug60470010,1
536,GB30CVKT90073553017437,drug70453034,7
537,GB30CVKT90073553017437,drug39502094,1
538,GB30CVKT90073553017437,drug23177871,3
