,transaction_sale_only_pharmacy_id,drug_id,quantity
62,GB97VTCU15479269312809,drug02277240,8
63,GB05TMZT71125022255658,drug72486597,5
64,GB05TMZT71125022255658,drug62781800,1
65,GB05TMZT71125022255658,drug34789896,1
66,GB05TMZT71125022255658,drug82627058,1
67,GB05TMZT71125022255658,drug73216940,4
68,GB05TMZT71125022255658,drug66295327,6
69,GB89HLQK84448657726628,drug38178634,7
70,GB89HLQK84448657726628,drug30212688,5
71,GB89HLQK84448657726628,drug34105634,9
72,GB89HLQK84448657726628,drug94449822,5
73,GB89HLQK84448657726628,drug28011682,10
74,GB89HLQK84448657726628,drug68357658,10
75,GB89HLQK84448657726628,drug79748780,6
76,GB89HLQK84448657726628,drug90188947,9
77,GB89HLQK84448657726628,drug00666374,8
78,GB56YEOC87407583703040,drug95984926,3
79,GB56YEOC87407583703040,drug67522019,6
80,GB56YEOC87407583703040,drug31004220,1
81,GB56YEOC87407583703040,drug68357658,5
82,GB73AEYY13493110658629,drug07954108,2
83,GB73AEYY13493110658629,drug80279068,5
84,GB73AEYY13493110658629,drug60282545,6
85,GB73AEYY13493110658629,drug02160115,5
86,GB73AEYY13493110658629,drug78279223,7
87,GB73AEYY13493110658629,drug39664051,9
88,GB29QBFI95403466150344,drug07216213,4
89,GB29QBFI95403466150344,drug82563585,6
90,GB29QBFI95403466150344,drug81472369,5
91,GB29QBFI95403466150344,drug63617689,10
92,GB29QBFI95403466150344,drug70682915,3
93,GB29QBFI95403466150344,drug30212688,7
94,GB29QBFI95403466150344,drug39018649,6
95,GB29QBFI95403466150344,drug09768543,4
96,GB52HBYW06627923644546,drug82066062,2
97,GB52HBYW06627923644546,drug91084545,1
98,GB22UTPE52424852917413,drug02347912,1
99,GB22UTPE52424852917413,drug72889619,4
100,GB22UTPE52424852917413,drug03704639,1
101,GB22UTPE52424852917413,drug45996863,1
102,GB22UTPE52424852917413,drug96302910,3
103,GB22NMQU84725005122117,drug40052861,8
104,GB22NMQU84725005122117,drug47051621,6
105,GB22NMQU84725005122117,drug37448561,4
106,GB22NMQU84725005122117,drug80124078,1
107,GB22NMQU84725005122117,drug13317331,1
108,GB22NMQU84725005122117,drug15406590,4
109,GB22NMQU84725005122117,drug75324698,4
110,GB22NMQU84725005122117,drug70682915,3
111,GB22NMQU84725005122117,drug07216213,2
112,GB22NMQU84725005122117,drug45482502,3
113,GB47ESPM98816852004918,drug61531215,9
114,GB47ESPM98816852004918,drug35061861,7
115,GB67VSTG69613502492221,drug81163762,4
116,GB67VSTG69613502492221,drug30212688,2
117,GB67VSTG69613502492221,drug40298825,8
118,GB67VSTG69613502492221,drug82563585,4
119,GB67VSTG69613502492221,drug39664051,4
120,GB67VSTG69613502492221,drug34105634,5
121,GB62HZLW54419412971517,drug90482731,2
122,GB62HZLW54419412971517,drug78665699,10
123,GB62HZLW54419412971517,drug88734576,10
124,GB62HZLW54419412971517,drug75151645,3
125,GB32YMDM34497902605328,drug81478514,10
126,GB32YMDM34497902605328,drug05244287,2
127,GB75NODA34619602603559,drug96966044,1
128,GB75NODA34619602603559,drug36537068,5
129,GB75NODA34619602603559,drug36645459,10
130,GB75NODA34619602603559,drug81478514,10
131,GB75NODA34619602603559,drug04673408,7
132,GB75NODA34619602603559,drug75151645,10
133,GB75NODA34619602603559,drug23867758,8
134,GB75NODA34619602603559,drug07005824,1
135,GB23AOWG77034817556519,drug45403330,4
136,GB23AOWG77034817556519,drug19384863,4
137,GB23AOWG77034817556519,drug27231500,9
138,GB41KQUE59919319134701,drug83393358,8
139,GB41KQUE59919319134701,drug62781800,1
140,GB41KQUE59919319134701,drug00913164,6
141,GB41KQUE59919319134701,drug96302910,3
142,GB41KQUE59919319134701,drug47051621,5
143,GB41KQUE59919319134701,drug45659690,2
144,GB41KQUE59919319134701,drug17244244,8
145,GB41KQUE59919319134701,drug72889619,3
146,GB41KQUE59919319134701,drug39502094,2
147,GB53LOJK11359312941216,drug31004220,7
148,GB07WITR00821804492138,drug01308433,3
149,GB07WITR00821804492138,drug16113015,2
150,GB47HGZA79462134279879,drug62529365,5
151,GB47HGZA79462134279879,drug40052861,7
152,GB47HGZA79462134279879,drug43043958,2
153,GB56JEFZ47518967255899,drug37448561,8
154,GB56JEFZ47518967255899,drug82670597,9
155,GB56JEFZ47518967255899,drug54349650,1
156,GB30HXWC45531890111903,drug52419621,9
157,GB30HXWC45531890111903,drug40688589,9
158,GB30HXWC45531890111903,drug80124078,9
159,GB30HXWC45531890111903,drug36645459,4
160,GB30HXWC45531890111903,drug07139598,1
161,GB30HXWC45531890111903,drug87480702,5
162,GB30HXWC45531890111903,drug24571234,4
163,GB09YLDL08349642742426,drug54349650,10
164,GB09YLDL08349642742426,drug53284600,4
165,GB71VWOZ71262928007689,drug03209257,4
166,GB71VWOZ71262928007689,drug07442995,4
167,GB71VWOZ71262928007689,drug90188947,9
168,GB71VWOZ71262928007689,drug72930892,6
169,GB71VWOZ71262928007689,drug34105634,6
170,GB71VWOZ71262928007689,drug12890255,6
171,GB71VWOZ71262928007689,drug00666374,7
172,GB71VWOZ71262928007689,drug26446547,1
173,GB71VWOZ71262928007689,drug40688589,1
174,GB71VWOZ71262928007689,drug09332102,4
175,GB34CUKL57874218944664,drug15406590,5
176,GB34CUKL57874218944664,drug83741951,7
177,GB34CUKL57874218944664,drug42187806,2
178,GB34CUKL57874218944664,drug24714877,8
179,GB34CUKL57874218944664,drug81570454,3
180,GB34CUKL57874218944664,drug80279068,7
181,GB34CUKL57874218944664,drug62781800,4
182,GB69BXTY19255369806359,drug07596964,8
183,GB69BXTY19255369806359,drug78665699,8
184,GB69BXTY19255369806359,drug36646647,5
185,GB69BXTY19255369806359,drug94679120,7
186,GB69BXTY19255369806359,drug68357658,2
187,GB69BXTY19255369806359,drug13317331,7
188,GB69BXTY19255369806359,drug82670597,3
189,GB69BXTY19255369806359,drug63758054,2
190,GB69BXTY19255369806359,drug36537068,6
191,GB69BXTY19255369806359,drug57961255,9
192,GB38FQIU26074911166096,drug02160115,6
193,GB38FQIU26074911166096,drug36645459,8
194,GB38FQIU26074911166096,drug10212486,8
195,GB38FQIU26074911166096,drug85864856,4
196,GB38FQIU26074911166096,drug00666374,10
197,GB38FQIU26074911166096,drug66048138,10
198,GB38FQIU26074911166096,drug81478514,9
199,GB53OIDD16839436885205,drug66295327,2
200,GB53OIDD16839436885205,drug12890255,1
201,GB53OIDD16839436885205,drug05810291,9
202,GB53OIDD16839436885205,drug98072057,1
203,GB53OIDD16839436885205,drug45403330,4
204,GB53OIDD16839436885205,drug81459506,6
205,GB89MIMT42701124079246,drug07951190,7
206,GB89MIMT42701124079246,drug00296038,2
207,GB70THRM02118432268594,drug37591403,8
208,GB70THRM02118432268594,drug29155903,7
209,GB71BEKJ13739214794389,drug85864856,8
210,GB43OJEZ32661538064103,drug98928200,4
211,GB43OJEZ32661538064103,drug16113015,7
212,GB43OJEZ32661538064103,drug94679120,2
213,GB43OJEZ32661538064103,drug90419812,4
214,GB73KFWD00795919325819,drug92078413,9
215,GB73KFWD00795919325819,drug82563585,8
216,GB73KFWD00795919325819,drug07216213,5
217,GB73KFWD00795919325819,drug30212688,7
218,GB73KFWD00795919325819,drug75324698,1
219,GB73KFWD00795919325819,drug60470010,10
220,GB73KFWD00795919325819,drug34789896,2
221,GB04KBFU90273694058318,drug76207815,9
222,GB03NBND42053230491434,drug24714877,8
223,GB03NBND42053230491434,drug07139598,6
224,GB03NBND42053230491434,drug70682915,7
225,GB03NBND42053230491434,drug92078413,9
226,GB03NBND42053230491434,drug10580707,2
227,GB03NBND42053230491434,drug25473605,10
228,GB84EXTN38034862951899,drug07005824,6
229,GB84EXTN38034862951899,drug84538864,8
230,GB84EXTN38034862951899,drug60843760,7
231,GB84EXTN38034862951899,drug35061861,2
232,GB40STOU86057229929110,drug63247565,8
233,GB40STOU86057229929110,drug40688589,7
234,GB40STOU86057229929110,drug11824657,8
235,GB40STOU86057229929110,drug45996863,2
236,GB40STOU86057229929110,drug80453208,3
237,GB66XOJZ65849013135534,drug07442995,7
238,GB66XOJZ65849013135534,drug06536879,9
239,GB66XOJZ65849013135534,drug39664051,5
240,GB66XOJZ65849013135534,drug37591403,2
241,GB52JWUB58607253477120,drug63441802,1
242,GB52JWUB58607253477120,drug83393358,7
243,GB52JWUB58607253477120,drug80124078,8
244,GB52JWUB58607253477120,drug21625060,7
245,GB52JWUB58607253477120,drug80453208,5
246,GB52JWUB58607253477120,drug82627058,2
247,GB52JWUB58607253477120,drug36537068,1
248,GB52JWUB58607253477120,drug80453208,9
249,GB97OQZX47088987401795,drug75339562,4
250,GB84QILN26902513688828,drug59016069,9
251,GB84QILN26902513688828,drug59016069,1
252,GB84QILN26902513688828,drug75151645,7
253,GB75RSLK01863229673501,drug72250907,10
254,GB75RSLK01863229673501,drug70415612,5
255,GB75RSLK01863229673501,drug30387515,8
256,GB22ZNET62642526734835,drug45403330,6
257,GB22ZNET62642526734835,drug40688589,2
258,GB22ZNET62642526734835,drug34105634,6
259,GB22ZNET62642526734835,drug20114367,4
260,GB22ZNET62642526734835,drug93448178,1
261,GB22ZNET62642526734835,drug90626067,6
262,GB73OBXQ36553598323543,drug31282017,1
263,GB18ULYX70804032221508,drug94679120,7
264,GB18ULYX70804032221508,drug94449822,8
265,GB18ULYX70804032221508,drug66600541,6
266,GB18ULYX70804032221508,drug13038472,4
267,GB18ULYX70804032221508,drug83393358,5
268,GB18ULYX70804032221508,drug79748780,10
269,GB18ULYX70804032221508,drug63758054,3
270,GB46RTDG98854867258276,drug73414681,9
271,GB46RTDG98854867258276,drug82563585,8
272,GB46RTDG98854867258276,drug37591403,8
273,GB46RTDG98854867258276,drug96637593,6
274,GB46RTDG98854867258276,drug94449822,6
275,GB46RTDG98854867258276,drug96966044,9
276,GB46RTDG98854867258276,drug02160115,7
277,GB46RTDG98854867258276,drug15371560,8
278,GB46RTDG98854867258276,drug90482731,7
279,GB46RTDG98854867258276,drug77438058,10
280,GB40GNHY82052399700900,drug31410335,9
281,GB40GNHY82052399700900,drug81459506,1
282,GB40GNHY82052399700900,drug37858179,10
283,GB40GNHY82052399700900,drug00296038,7
284,GB05ELXB57182777429327,drug24571234,10
285,GB05ELXB57182777429327,drug49452730,9
286,GB05ELXB57182777429327,drug66600541,4
287,GB05ELXB57182777429327,drug43279241,5
288,GB05ELXB57182777429327,drug81478514,5
289,GB94HNAP61544448147840,drug73216940,3
290,GB94HNAP61544448147840,drug35061861,1
291,GB94HNAP61544448147840,drug06536879,4
292,GB94HNAP61544448147840,drug40052861,6
293,GB94HNAP61544448147840,drug31784573,10
294,GB94HNAP61544448147840,drug65864098,10
295,GB94HNAP61544448147840,drug72250907,8
296,GB94HNAP61544448147840,drug55536073,10
297,GB94HNAP61544448147840,drug39502094,2
298,GB59AGBF83111690627513,drug68272647,10
299,GB59AGBF83111690627513,drug16108141,4
300,GB59AGBF83111690627513,drug82627058,9
301,GB59AGBF83111690627513,drug91871275,9
302,GB14JYPS59293847258126,drug60843760,10
303,GB61YXAY29352019004032,drug31004220,10
304,GB61YXAY29352019004032,drug37641146,10
305,GB67CTSK50725256358443,drug73216940,8
306,GB67CTSK50725256358443,drug63758054,2
307,GB67CTSK50725256358443,drug57961255,4
308,GB67CTSK50725256358443,drug04673408,4
309,GB67CTSK50725256358443,drug15406590,5
310,GB67CTSK50725256358443,drug31784573,8
311,GB97JPFP90210795231788,drug75324698,3
312,GB46OJPT08996204171638,drug07437342,5
313,GB46OJPT08996204171638,drug53537447,10
314,GB46OJPT08996204171638,drug35061861,8
315,GB46OJPT08996204171638,drug13317331,3
316,GB55WAMZ24738833240441,drug10212486,10
317,GB55WAMZ24738833240441,drug10580707,10
318,GB55WAMZ24738833240441,drug26446547,9
319,GB55WAMZ24738833240441,drug26446547,5
320,GB55WAMZ24738833240441,drug70415612,6
321,GB85KGKR76963600485637,drug07437342,8
322,GB85KGKR76963600485637,drug07954108,5
323,GB85KGKR76963600485637,drug20906559,3
324,GB85KGKR76963600485637,drug12503070,3
325,GB55YSVT07777903072642,drug78279223,3
326,GB55YSVT07777903072642,drug30212688,3
327,GB42WTJQ86801050830950,drug94679120,8
328,GB42WTJQ86801050830950,drug31999410,6
329,GB42WTJQ86801050830950,drug45403330,7
330,GB42WTJQ86801050830950,drug95984926,4
331,GB42WTJQ86801050830950,drug04673408,4
332,GB42WTJQ86801050830950,drug78665699,3
333,GB96FTPK20433959000941,drug10212486,2
334,GB96FTPK20433959000941,drug96966044,8
335,GB96FTPK20433959000941,drug20114367,3
336,GB96FTPK20433959000941,drug42187806,8
337,GB96FTPK20433959000941,drug96335857,9
338,GB11PGVN19483752027549,drug03209257,2
339,GB11PGVN19483752027549,drug31999410,10
340,GB11PGVN19483752027549,drug57961255,6
341,GB11PGVN19483752027549,drug00296038,5
342,GB11PGVN19483752027549,drug81459506,9
343,GB11PGVN19483752027549,drug45659690,1
344,GB84LFKG06323310811508,drug37448561,3
345,GB84LFKG06323310811508,drug09768543,6
346,GB84LFKG06323310811508,drug17244244,5
347,GB84LFKG06323310811508,drug90188947,2
348,GB84LFKG06323310811508,drug93448178,5
349,GB81HSPE91734054654845,drug79748780,7
350,GB81HSPE91734054654845,drug10580707,7
351,GB81HSPE91734054654845,drug34105634,1
352,GB81HSPE91734054654845,drug70415612,3
353,GB81HSPE91734054654845,drug63247565,6
354,GB81HSPE91734054654845,drug34789896,2
355,GB81HSPE91734054654845,drug81459506,6
356,GB81HSPE91734054654845,drug35020578,1
357,GB81HSPE91734054654845,drug16113015,8
358,GB64JAJJ99084143898917,drug80279068,10
359,GB64JAJJ99084143898917,drug22155948,8
360,GB64JAJJ99084143898917,drug28011682,2
361,GB64JAJJ99084143898917,drug47051621,3
362,GB64JAJJ99084143898917,drug03209257,4
363,GB64JAJJ99084143898917,drug23177871,10
364,GB64JAJJ99084143898917,drug24274852,4
365,GB64JAJJ99084143898917,drug30387515,7
366,GB64JAJJ99084143898917,drug03209257,8
367,GB86VJWG50270183323502,drug70682915,10
368,GB86VJWG50270183323502,drug66600541,4
369,GB86VJWG50270183323502,drug92078413,8
370,GB86VJWG50270183323502,drug16108141,3
371,GB86VJWG50270183323502,drug78279223,1
372,GB86VJWG50270183323502,drug52419621,2
373,GB65NYRO53419046658864,drug03704639,1
374,GB65NYRO53419046658864,drug26446547,7
375,GB65NYRO53419046658864,drug36646647,1
376,GB65NYRO53419046658864,drug90419812,6
377,GB65NYRO53419046658864,drug51976255,1
378,GB65NYRO53419046658864,drug54148048,2
379,GB65NYRO53419046658864,drug36775507,3
380,GB65NYRO53419046658864,drug07139598,1
381,GB45ANWO39568680129720,drug62529365,8
382,GB45ANWO39568680129720,drug63441802,9
383,GB50RPUW52057716017757,drug68272647,7
384,GB50RPUW52057716017757,drug63441802,1
385,GB50RPUW52057716017757,drug81459506,6
386,GB50RPUW52057716017757,drug38178634,6
387,GB50RPUW52057716017757,drug15406590,10
388,GB50RPUW52057716017757,drug97899020,1
389,GB50RPUW52057716017757,drug71734989,5
390,GB50RPUW52057716017757,drug05810291,4
391,GB50RPUW52057716017757,drug20114367,7
392,GB50RPUW52057716017757,drug78279223,6
393,GB43COWD07641613148394,drug31282017,5
394,GB43COWD07641613148394,drug61531215,9
395,GB43COWD07641613148394,drug15371560,1
396,GB43COWD07641613148394,drug02277240,10
397,GB43COWD07641613148394,drug05497454,9
398,GB43COWD07641613148394,drug19384863,3
399,GB43COWD07641613148394,drug93448178,1
400,GB85TJFH52334875730604,drug00296038,5
401,GB85TJFH52334875730604,drug34105634,3
402,GB85TJFH52334875730604,drug09332102,6
403,GB85TJFH52334875730604,drug56280364,1
404,GB85TJFH52334875730604,drug97899020,8
405,GB85TJFH52334875730604,drug61824010,7
406,GB85TJFH52334875730604,drug13038472,10
407,GB85TJFH52334875730604,drug07951190,2
408,GB85TJFH52334875730604,drug57961255,5
409,GB85TJFH52334875730604,drug37448561,8
410,GB92UQJT75926892251843,drug60282545,5
411,GB92UQJT75926892251843,drug91280893,8
412,GB92UQJT75926892251843,drug93448178,7
413,GB92UQJT75926892251843,drug60282545,3
414,GB92UQJT75926892251843,drug20114367,7
415,GB92UQJT75926892251843,drug36537068,3
416,GB92UQJT75926892251843,drug45482502,1
417,GB92UQJT75926892251843,drug78665699,8
418,GB90YWFT94272544869221,drug13317331,5
419,GB90YWFT94272544869221,drug62781800,8
420,GB90YWFT94272544869221,drug95984926,6
421,GB90YWFT94272544869221,drug12503070,8
422,GB90YWFT94272544869221,drug65864098,3
423,GB90YWFT94272544869221,drug66600541,2
424,GB61OOLF74233615406655,drug67522019,7
425,GB61OOLF74233615406655,drug75339562,3
426,GB61OOLF74233615406655,drug48733458,5
427,GB39LLFZ07554081626618,drug04673408,7
428,GB53MCYD29036933767836,drug81478514,10
429,GB53MCYD29036933767836,drug24274852,3
430,GB53MCYD29036933767836,drug78223950,9
431,GB86AMTH27634346860913,drug45482502,5
432,GB86AMTH27634346860913,drug16113015,1
433,GB86AMTH27634346860913,drug67531332,2
434,GB48DQIO97332908089828,drug31410335,6
435,GB57DWSD34104157114066,drug12221745,7
436,GB57DWSD34104157114066,drug40052861,6
437,GB57DWSD34104157114066,drug94575323,10
438,GB57DWSD34104157114066,drug53526540,1
439,GB57DWSD34104157114066,drug10212486,8
440,GB57DWSD34104157114066,drug60470010,7
441,GB57DWSD34104157114066,drug17244244,1
442,GB57DWSD34104157114066,drug05810291,3
443,GB57DWSD34104157114066,drug15406590,5
444,GB57DWSD34104157114066,drug03209257,5
445,GB26BXFM56644327447629,drug07951190,6
446,GB26BXFM56644327447629,drug06536879,8
447,GB26BXFM56644327447629,drug60470010,10
448,GB26BXFM56644327447629,drug37641146,5
449,GB26BXFM56644327447629,drug20114367,1
450,GB26BXFM56644327447629,drug70453034,1
451,GB26BXFM56644327447629,drug00666374,8
452,GB26BXFM56644327447629,drug39018649,3
453,GB26BXFM56644327447629,drug00666374,10
454,GB42WDHH62261076818756,drug26446547,10
455,GB42WDHH62261076818756,drug18797701,1
456,GB42WDHH62261076818756,drug24571234,5
457,GB06NJEG78742473931476,drug09332102,3
458,GB83SBWM13678514965623,drug94575323,3
459,GB83SBWM13678514965623,drug12503070,7
460,GB83SBWM13678514965623,drug31784573,9
461,GB83SBWM13678514965623,drug80279068,5
462,GB83SBWM13678514965623,drug01308433,8
463,GB83SBWM13678514965623,drug63702156,8
464,GB83SBWM13678514965623,drug72250907,6
465,GB15SOHX61398364257952,drug34105634,1
466,GB15SOHX61398364257952,drug30387515,8
467,GB15SOHX61398364257952,drug78665699,1
468,GB15SOHX61398364257952,drug67531332,4
469,GB15SOHX61398364257952,drug81459506,1
470,GB15SOHX61398364257952,drug23867758,10
471,GB15SOHX61398364257952,drug16113015,2
472,GB15SOHX61398364257952,drug37858179,3
473,GB15SOHX61398364257952,drug82066062,1
474,GB63TACO24828331220882,drug07437342,3
475,GB52VGEM31489564265716,drug36537068,1
476,GB52VGEM31489564265716,drug73414681,6
477,GB52VGEM31489564265716,drug10580707,6
478,GB52VGEM31489564265716,drug51976255,3
479,GB52VGEM31489564265716,drug83393358,3
480,GB52VGEM31489564265716,drug81472369,7
481,GB52VGEM31489564265716,drug36646647,3
482,GB32WALZ36634389954532,drug09332102,4
483,GB32WALZ36634389954532,drug38178634,5
484,GB32WALZ36634389954532,drug18797701,1
485,GB32WALZ36634389954532,drug96302910,9
486,GB32WALZ36634389954532,drug45482502,1
487,GB32WALZ36634389954532,drug40052861,6
488,GB32WALZ36634389954532,drug90730092,2
489,GB32WALZ36634389954532,drug14294525,4
490,GB32WALZ36634389954532,drug94679120,9
491,GB32WALZ36634389954532,drug38178634,3
492,GB42PQGK79052438491194,drug07005824,4
493,GB42PQGK79052438491194,drug92078413,10
494,GB42PQGK79052438491194,drug63441802,1
495,GB42PQGK79052438491194,drug21625060,5
496,GB42PQGK79052438491194,drug89581438,6
497,GB42PQGK79052438491194,drug72889619,3
498,GB42PQGK79052438491194,drug07216213,8
499,GB42PQGK79052438491194,drug48331708,9
500,GB42PQGK79052438491194,drug80279068,7
501,GB85ZWHR08235469065301,drug82627058,2
502,GB85ZWHR08235469065301,drug39018649,2
503,GB85ZWHR08235469065301,drug59016069,2
504,GB85ZWHR08235469065301,drug23177871,10
505,GB95HWQD86849034144089,drug00913164,7
506,GB95HWQD86849034144089,drug89581438,6
507,GB95HWQD86849034144089,drug24571234,2
508,GB95HWQD86849034144089,drug54148048,9
509,GB95HWQD86849034144089,drug25473605,6
510,GB95HWQD86849034144089,drug78223950,2
511,GB95HWQD86849034144089,drug61824010,10
512,GB95HWQD86849034144089,drug01308433,10
513,GB95HWQD86849034144089,drug82307868,10
514,GB95HWQD86849034144089,drug30387515,2
